ID;Precio (€/mes);Tipo;Teléfono;Ciudad;Dirección;Barrio;Habitaciones;Baños;Superficie (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
163017215;2900;Piso;932829126;Barcelona Capital;Passeig de la Bonanova;Sarrià - Sant Gervasi;5.0;3.0;138.0;3.0;True;False;False;False;False;False;21.014492753623188
162784001;2600;Piso;932992918;Barcelona Capital;Carrer Tres Torres;Sarrià - Sant Gervasi;5.0;3.0;186.0;5.0;True;False;False;False;False;False;13.978494623655914
163016755;2400;Ático;932752339;Barcelona Capital;;Eixample;2.0;1.0;71.0;4.0;False;True;False;False;False;False;33.80281690140845
163015893;10000;Dúplex;932829126;Barcelona Capital;;Eixample;3.0;3.0;470.0;;False;True;False;False;False;True;21.27659574468085
163015373;1025;Piso;935439838;Barcelona Capital;Sant Pere Mitja;Ciutat Vella;2.0;1.0;65.0;;False;True;False;False;False;True;15.76923076923077
163015370;1600;Piso;935439838;Barcelona Capital;Revolucion;Gràcia;2.0;2.0;63.0;;False;True;False;True;False;False;25.396825396825395
163015365;1100;Ático;935439838;Barcelona Capital;Diputacio;Eixample;2.0;1.0;62.0;;True;False;False;False;False;True;17.741935483870968
163015023;6000;Casa o chalet;Unknown;Barcelona Capital;;Gràcia;7.0;3.0;490.0;;False;False;False;True;True;False;12.244897959183673
163014307;1200;Piso;932997349;Barcelona Capital;Carrer de València;Eixample;3.0;1.0;60.0;2.0;False;False;False;False;False;True;20.0
163013571;1900;Apartamento;932829126;Barcelona Capital;Carrer de Provença;Sant Martí;3.0;1.0;90.0;2.0;True;False;False;False;False;False;21.11111111111111
163012880;880;Piso;931332815;Barcelona Capital;Agramunt;Sarrià - Sant Gervasi;1.0;1.0;40.0;;True;False;False;False;False;False;22.0
163010869;1340;Piso;932829126;Barcelona Capital;Nou de Sant Francesc;Ciutat Vella;2.0;2.0;117.0;1.0;True;False;False;False;False;False;11.452991452991453
163010742;1150;Piso;932829126;Barcelona Capital;Ramón Turró;Sant Martí;3.0;1.0;50.0;2.0;True;False;False;False;False;False;23.0
163010502;850;Piso;931335749;Barcelona Capital;;Sant Martí;2.0;1.0;63.0;;False;False;False;False;True;False;13.492063492063492
163010161;2400;Ático;931335749;Barcelona Capital;;Horta - Guinardó;3.0;2.0;175.0;2.0;True;False;False;False;False;False;13.714285714285714
163010064;1300;Piso;931335749;Barcelona Capital;;Sant Andreu;4.0;2.0;97.0;;True;False;False;False;False;False;13.402061855670103
163008890;1600;Piso;932751140;Barcelona Capital;Floridablanca;Eixample;2.0;1.0;63.0;;True;False;False;False;True;False;25.396825396825395
163008003;990;Piso;935439838;Barcelona Capital;Begur;Sants - Montjuïc;2.0;1.0;51.0;2.0;False;False;False;True;False;False;19.41176470588235
163007117;900;Ático;931335749;Barcelona Capital;;Sarrià - Sant Gervasi;1.0;1.0;30.0;;False;False;False;False;True;False;30.0
163005075;2400;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;98.0;7.0;True;False;False;False;False;False;24.489795918367346
163004995;2500;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;98.0;7.0;True;False;False;False;False;False;25.510204081632654
163004915;2700;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;98.0;7.0;True;False;False;False;False;False;27.551020408163264
163004881;2600;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;98.0;7.0;True;False;False;False;False;False;26.53061224489796
163004777;2400;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;2.0;2.0;90.0;;True;False;False;False;False;False;26.666666666666668
163003886;2500;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;92.0;;True;False;False;False;False;False;27.17391304347826
163003437;1100;Piso;935439838;Barcelona Capital;Sant Pere Mes Baix;Ciutat Vella;2.0;1.0;75.0;1.0;True;False;False;False;False;False;14.666666666666666
163002814;2600;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;92.0;;True;False;False;False;False;False;28.26086956521739
163002771;2700;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;92.0;;True;False;False;False;False;False;29.347826086956523
163002153;2500;Piso;931335749;Barcelona Capital;;Gràcia;1.0;2.0;100.0;;False;False;False;False;True;False;25.0
163001893;2900;Piso;932755759;Barcelona Capital;Pg de la Bonanova;Sarrià - Sant Gervasi;5.0;3.0;150.0;4.0;True;False;False;False;False;False;19.333333333333332
163001224;7200;Piso;932821925;Barcelona Capital;Carrer de L'abadessa Olzet;Les Corts;5.0;5.0;220.0;3.0;True;False;False;False;False;False;32.72727272727273
163000905;3500;Piso;932829126;Barcelona Capital;;Eixample;6.0;3.0;258.0;6.0;True;False;False;False;False;False;13.565891472868216
163000326;800;Piso;932822598;Barcelona Capital;Carrer del Poeta Cabanyes;Sants - Montjuïc;2.0;1.0;60.0;;False;False;False;True;False;False;13.333333333333334
162999107;1350;Apartamento;932829126;Barcelona Capital;Vidiella;Sant Martí;;1.0;53.0;2.0;False;False;False;True;True;False;25.471698113207548
162998598;875;Piso;931342506;Barcelona Capital;Tajo;Horta - Guinardó;3.0;1.0;70.0;2.0;True;False;False;False;False;False;12.5
162872518;2500;Piso;932939942;Barcelona Capital;Avinguda Diagonal;Les Corts;4.0;3.0;120.0;4.0;True;False;False;False;False;False;20.833333333333332
162994840;440000;Piso;931335749;Barcelona Capital;;Ciutat Vella;3.0;2.0;102.0;;False;False;False;False;True;False;4313.725490196079
162994563;1900;Piso;932829126;Barcelona Capital;Reina Amalia;Ciutat Vella;2.0;2.0;80.0;3.0;True;False;False;False;False;False;23.75
162994409;7200;Piso;932829126;Barcelona Capital;;Les Corts;5.0;5.0;200.0;;True;True;False;False;False;False;36.0
162938011;2100;Piso;932512487;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;110.0;12.0;True;False;False;False;False;False;19.09090909090909
162992521;1650;Ático;932829126;Barcelona Capital;Avinguda República Argentina;Gràcia;2.0;2.0;137.0;8.0;True;False;False;False;False;False;12.043795620437956
162991906;1500;Piso;935439838;Barcelona Capital;Palma;Sants - Montjuïc;3.0;2.0;72.0;;True;False;False;False;False;True;20.833333333333332
162991749;1815;Piso;931345721;Barcelona Capital;Passeig de Gràcia;Eixample;2.0;2.0;80.0;2.0;True;False;False;False;False;False;22.6875
162991558;3000;Piso;Unknown;Barcelona Capital;;Eixample;3.0;2.0;90.0;4.0;True;False;False;False;False;False;33.333333333333336
162990174;1200;Piso;931335749;Barcelona Capital;;Sarrià - Sant Gervasi;2.0;1.0;75.0;;False;False;False;False;True;False;16.0
162989825;1350;Piso;932755759;Barcelona Capital;Avinguda Diagonal;Eixample;1.0;1.0;45.0;3.0;False;False;False;False;False;True;30.0
162988035;2500;Piso;932755759;Barcelona Capital;Carrer de Les Alberes;Sarrià - Sant Gervasi;5.0;2.0;120.0;1.0;True;False;False;False;False;False;20.833333333333332
162676291;1000;Loft;931348302;Barcelona Capital;Carrer de Muntaner;Sarrià - Sant Gervasi;;1.0;60.0;;True;True;False;False;True;False;16.666666666666668
162984590;2100;Dúplex;931330847;Barcelona Capital;;Sant Martí;2.0;2.0;140.0;;False;False;False;True;False;False;15.0
162941357;1380;Piso;Unknown;Barcelona Capital;Travessera de Les Corts;Les Corts;3.0;2.0;123.0;1.0;True;False;False;False;False;False;11.21951219512195
162975854;2250;Dúplex;935432531;Barcelona Capital;;Gràcia;4.0;3.0;147.0;;False;True;False;False;False;False;15.306122448979592
162974548;2400;Ático;931348912;Barcelona Capital;;Horta - Guinardó;3.0;2.0;155.0;1.0;False;True;False;False;False;False;15.483870967741936
162973551;1300;Piso;935431689;Barcelona Capital;;Gràcia;1.0;1.0;45.0;;True;True;False;False;False;False;28.88888888888889
162973476;1800;Piso;931335749;Barcelona Capital;;Eixample;2.0;1.0;58.0;;False;False;False;False;True;False;31.03448275862069
162970167;2100;Piso;932829126;Barcelona Capital;Pelai;Ciutat Vella;2.0;2.0;90.0;1.0;True;False;False;False;False;False;23.333333333333332
162969587;1400;Piso;931349563;Barcelona Capital;Gran Vía Corts Catalanes;Eixample;3.0;2.0;85.0;;False;False;False;True;False;False;16.470588235294116
162968963;15000;Piso;932829126;Barcelona Capital;Pau Claris;Eixample;3.0;3.0;238.0;1.0;True;False;False;False;False;False;63.02521008403362
162965089;2500;Piso;932829126;Barcelona Capital;Riu de L'or;Les Corts;3.0;2.0;90.0;1.0;True;False;False;False;False;False;27.77777777777778
162962263;1950;Piso;932829126;Barcelona Capital;Provença;Sant Martí;3.0;2.0;90.0;2.0;True;False;False;False;False;False;21.666666666666668
162961717;2050;Piso;932829126;Barcelona Capital;Provença;Sant Martí;3.0;2.0;90.0;1.0;True;False;False;False;False;False;22.77777777777778
162961705;2150;Apartamento;932829126;Barcelona Capital;Provença;Sant Martí;3.0;2.0;130.0;;True;True;False;False;False;False;16.53846153846154
162961606;1100;Ático;932829126;Barcelona Capital;Provença;Sant Martí;1.0;1.0;40.0;5.0;True;False;False;False;False;False;27.5
162960174;2500;Apartamento;931348912;Barcelona Capital;;Eixample;3.0;1.0;130.0;1.0;True;False;False;False;False;False;19.23076923076923
162959777;1200;Piso;931330254;Barcelona Capital;Avinguda Meridiana;Sant Andreu;3.0;1.0;80.0;10.0;True;False;False;False;False;False;15.0
162959444;650;Apartamento;Unknown;Barcelona Capital;Carrer de L'om;Ciutat Vella;1.0;1.0;45.0;2.0;False;False;False;False;False;True;14.444444444444445
162958894;1400;Apartamento;930445863;Barcelona Capital;;Ciutat Vella;2.0;1.0;88.0;;False;False;False;False;False;False;15.909090909090908
162957814;3600;Piso;931332451;Barcelona Capital;;Ciutat Vella;;;320.0;;True;False;False;True;False;False;11.25
162954114;1250;Piso;937384214;Barcelona Capital;;Sants - Montjuïc;3.0;2.0;90.0;1.0;True;False;False;False;False;False;13.88888888888889
162952030;2750;Ático;951349156;Barcelona Capital;Carrer de Sardenya;Eixample;2.0;2.0;140.0;9.0;True;False;False;False;False;False;19.642857142857142
162951507;1100;Piso;932990459;Barcelona Capital;;Sants - Montjuïc;4.0;2.0;82.0;1.0;True;False;False;False;False;False;13.414634146341463
162949539;6000;Piso;932755759;Barcelona Capital;Pg de Gràcia;Eixample;4.0;3.0;250.0;1.0;True;False;False;False;False;False;24.0
162949514;3321;Piso;935431689;Barcelona Capital;;Sarrià - Sant Gervasi;3.0;2.0;123.0;;False;True;True;False;False;False;27.0
162949509;3648;Piso;935431689;Barcelona Capital;;Sarrià - Sant Gervasi;4.0;2.0;124.0;;False;True;True;False;False;False;29.419354838709676
162948496;6470;Piso;932755759;Barcelona Capital;;Eixample;4.0;3.0;230.0;5.0;True;False;False;False;False;False;28.130434782608695
162947918;850;Piso;Unknown;Barcelona Capital;;Horta - Guinardó;2.0;1.0;65.0;1.0;True;False;False;False;False;False;13.076923076923077
162944047;2300;Piso;932755759;Barcelona Capital;Gran Via de Les Corts Catalanes;Eixample;2.0;2.0;100.0;3.0;True;False;False;False;False;False;23.0
162941261;3300;Piso;932755759;Barcelona Capital;Carrer de Margenat;Sarrià - Sant Gervasi;5.0;3.0;185.0;1.0;True;False;False;False;False;False;17.83783783783784
162940525;850;Piso;932992519;Barcelona Capital;Carrer D'allada Vermell;Ciutat Vella;1.0;1.0;50.0;3.0;False;False;False;True;False;False;17.0
162940311;1800;Apartamento;931348912;Barcelona Capital;;Eixample;2.0;1.0;60.0;;False;False;False;True;False;False;30.0
162939312;2000;Piso;932829126;Barcelona Capital;Reina Amalia;Ciutat Vella;2.0;2.0;80.0;1.0;True;False;False;False;False;False;25.0
162937211;2800;Piso;932755759;Barcelona Capital;;Sant Martí;3.0;2.0;90.0;9.0;True;False;False;False;False;False;31.11111111111111
162937101;3445;Piso;932829126;Barcelona Capital;;Sarrià - Sant Gervasi;4.0;2.0;129.0;1.0;True;False;False;False;False;False;26.705426356589147
162936160;1000;Piso;932992508;Barcelona Capital;Carrer de Còrsega;Sant Martí;3.0;1.0;60.0;;True;False;False;False;False;False;16.666666666666668
162936155;1700;Piso;932829126;Barcelona Capital;;Eixample;3.0;2.0;85.0;1.0;True;False;False;False;False;False;20.0
162935441;1300;Piso;932755759;Barcelona Capital;;Sarrià - Sant Gervasi;2.0;2.0;53.0;4.0;True;False;False;False;False;False;24.528301886792452
162933747;6500;Casa o chalet;932829126;Barcelona Capital;Cornet I Mas;Sarrià - Sant Gervasi;3.0;3.0;250.0;;False;True;False;False;False;True;26.0
162933720;12000;Casa o chalet;932829126;Barcelona Capital;Panama;Les Corts;9.0;9.0;1100.0;;False;False;False;True;False;False;10.909090909090908
162932419;2200;Piso;932755759;Barcelona Capital;Passatge Mas de Roda;Sant Martí;2.0;2.0;137.0;;False;False;False;True;False;False;16.05839416058394
162932268;1600;Piso;932755759;Barcelona Capital;Carrer de Ballester;Sarrià - Sant Gervasi;2.0;1.0;73.0;;True;True;False;False;False;False;21.91780821917808
162929608;1200;Piso;935439838;Barcelona Capital;Fontrodona;Sants - Montjuïc;2.0;2.0;63.0;;True;False;False;False;False;True;19.047619047619047
162929598;875;Piso;935439838;Barcelona Capital;Mare de Deu de Port;Sants - Montjuïc;1.0;1.0;60.0;;True;True;False;False;False;False;14.583333333333334
162929596;1200;Piso;935439838;Barcelona Capital;Sitges;Ciutat Vella;2.0;1.0;60.0;2.0;True;False;False;False;False;False;20.0
162927999;1700;Apartamento;931348912;Barcelona Capital;;Ciutat Vella;1.0;4.0;80.0;;True;False;False;False;False;False;21.25
